type_source,type,residential_type,count,fraction,description
sports_centre,public,,16579,0.0,A building that was built as a sports centre
stilt_house,residential,detached single-family house,15470,0.0,A house raised on piles over the surface of the soil or a body of water.
pavilion,public,,14655,0.0,A building providing facilities for users of sports grounds
supermarket,commercial,,14183,0.0,A building built as a supermarket
trullo,residential,residential,13533,0.0,"A stone hut with a conical roof, built without mortar"
no,others,,11929,0.0,
tent,others,,11658,0.0,A building mainly consisting of sheets of fabric or similar
container,others,,11532,0.0,A container used as a building.
sports_hall,public,,11007,0.0,A building that was built as a sports hall
stadium,public,,10924,0.0,A building which was built as stadium.
tomb,public,,10193,0.0,
digester,industrial,,10114,0.0,"A building constructed as a digester, a bioreactor for the production of biogas from biomass."
kitchen,commercial,,9324,0.0,
conservatory,residential,residential,8298,0.0,Conservatory - a building or room having glass or tarpaulin roofing and walls used as an indoor garden or a sunroom (winter garden).
religious,public,,8218,0.0,A building that was built as a religious building.
duplex,residential,semi-detached duplex house,7724,0.0,
pajaru,others,,7489,0.0,
abandoned,others,,7324,0.0,
bridge,others,,7168,0.0,A building used as a bridge.
shelter,others,,6673,0.0,
dam,industrial,,6604,0.0,
guardhouse,public,,6523,0.0,A small building constructed to house guard(s).
damaged,others,,6369,0.0,
wayside_shrine,public,,6266,0.0,A wayside shrine that meets the criteria of a building.
tower,commercial,,6073,0.0,"A tower, that is a building."
beach_hut,others,,5991,0.0,"A small, usually wooden, and often brightly coloured cabin or shelter above the high tide mark on popular bathing beaches."
military,public,,5674,0.0,An unspecific building constructed for military purposes.
shrine,public,,5492,0.0,A building that was built as a shrine
chalet,residential,detached single-family house,5292,0.0,
dwelling_house,residential,residential,5036,0.0,
clinic,public,,4615,0.0,
mobile_home,residential,detached single-family house,4570,0.0,"A mobile home, permanently located at the same location."
factory,industrial,,4561,0.0,A building constructed as a factory.
presbytery,residential,residential,4176,0.0,A building that was built as a presbytery (where priests live and work).
shop,commercial,,4107,0.0,
ail,others,,3803,0.0,
cathedral,public,,3337,0.0,A building that was built as a cathedral.
tank,industrial,,3134,0.0,
government_office,public,,3105,0.0,
castle,public,,3000,0.0,A building constructed as a castle.
proposed,others,,2998,0.0,
hayrack,agricultural,,2931,0.0,
pub,commercial,,2839,0.0,
gatehouse,public,,2755,0.0,"An entry control point building, spanning over a highway that enters a city or compound."
poultry_house,agricultural,,2679,0.0,
monastery,public,,2644,0.0,A building constructed as monastery
riding_hall,agricultural,,2569,0.0,A building that was built as a riding hall or indoor arena.
gazebo,others,,2466,0.0,
restaurant,commercial,,2401,0.0,
storage,industrial,,2322,0.0,
summer_cottage,residential,detached single-family house,2276,0.0,
terraced_house,residential,terraced house,2253,0.0,Individual house in a terrace. Preferred over mapping the whole terrace as one building.
store,commercial,,2169,0.0,
livestock,agricultural,,2142,0.0,A building or part of a building that was built for housing livestock.
bank,commercial,,2136,0.0,
other,others,,2126,0.0,
community_group_office,public,,2083,0.0,
chicken_coop,agricultural,,2071,0.0,
terrace_house,residential,terraced house,2044,0.0,
canopy,others,,1970,0.0,
granary,agricultural,,1947,0.0,
veranda,residential,detached single-family house,1942,0.0,
power_substation,industrial,,1837,0.0,
ruin,others,,1826,0.0,
prison,public,,1784,0.0,
administrative,public,,1769,0.0,
foundation,others,,1759,0.0,
utility,industrial,,1756,0.0,
barracks,residential,residential,1736,0.0,A building built to house military personnel or laborers.
annexe,residential,residential,1707,0.0,A small self contained apartment on the same property as the main residential unit.
flats,residential,apartment block,1687,0.0,
terraced,residential,terraced house,1648,0.0,
synagogue,public,,1617,0.0,A building that was built as a synagogue.
entrance,,,1614,0.0,To mark the location of a building entrance.
glasshouse,agricultural,,1566,0.0,A glass building in which plants are grown. Note far more popular tag:building=greenhouse.
museum,public,,1552,0.0,A building which was designed as a museum.
mixed_use,commercial,,1550,0.0,
water_tower,industrial,,1523,0.0,A watertower
education,public,,1521,0.0,
deck,others,,1433,0.0,
tulou,residential,residential,1412,0.0,
wall,others,,1329,0.0,
townhouse,residential,terraced house,1319,0.0,
gasometer,industrial,,1318,0.0,
cottage,residential,detached single-family house,1304,0.0,
electricity,industrial,,1299,0.0,
bakehouse,commercial,,1226,0.0,Building for baking bread.
substation,industrial,,1225,0.0,
marketplace,commercial,,1211,0.0,
hall,public,,1198,0.0,
summer_house,residential,detached single-family house,1142,0.0,
sport,public,,1132,0.0,
police,public,,1114,0.0,A building constructed for use by the police.
plot,others,,1083,0.0,
maisonette,residential,residential,1076,0.0,
toilets;shower,public,,967,0.0,
elevator,,,932,0.0,
village_office,public,,927,0.0,
tech_cab,industrial,,921,0.0,Small prefabricated cabin structures for the air-conditioned accommodation of different technology.
yurt,residential,residential,916,0.0,
community_centre,public,,896,0.0,
bunglows,residential,detached single-family house,890,0.0,
barrier,others,,874,0.0,
historic,public,,872,0.0,
maybe,others,,860,0.0,
clubhouse,public,,858,0.0,
portable_classroom,public,,836,0.0,
market,commercial,,835,0.0,
depot,industrial,,826,0.0,
window,others,,816,0.0,
ucap,others,,788,0.0,
balcony,residential,residential,783,0.0,
data_center,commercial,,766,0.0,A building which was built as a data center
car_repair,commercial,,761,0.0,
parking_entrance,,,761,0.0,
kiln,industrial,,752,0.0,
windmill,industrial,,748,0.0,"A building constructed as a traditional windmill, historically used to mill grain with wind power."
ship,others,,735,0.0,A decommissioned ship/submarine which stays in one place.
convent,public,,716,0.0,A building constructed as a convent.
library,public,,706,0.0,
power,industrial,,702,0.0,
motel,commercial,,690,0.0,
healthcare,public,,690,0.0,
bell_tower,public,,672,0.0,Building constructed as a bell tower
destroyed,others,,672,0.0,
transformer,industrial,,638,0.0,
semidetached,residential,semi-detached duplex house,635,0.0,
station,public,,631,0.0,
wayside_chapel,public,,627,0.0,
funeral_hall,public,,613,0.0,Building erected for holding funerals.
villa,residential,detached single-family house,607,0.0,
demountable,commercial,,600,0.0,"A demountable, prefabricated building"
